community.rthk-	9.112728
1,800	5.999212
1,805	8.707262
1,806	9.805875
paizi	9.805875
suzann	9.112728
mdbs	9.805875
francesco	9.112728
nunneri	8.196437
francesca	9.112728
performance-ori	9.805875
kh	9.805875
161.2	9.805875
scold	9.805875
long-sleev	6.761352
153.6	9.805875
153.7	9.805875
581,000	9.805875
hermann	8.707262
153.8	9.805875
watercours	7.608650
benday	9.805875
down-turn	9.805875
74.49	9.805875
confid3	9.805875
sonja	9.805875
strictest	7.859965
bangdi	9.805875
four	2.220086
rolling-out	9.805875
wooden	5.515415
showcas	6.250527
aoabh	9.805875
wednesday	1.575830
elgar	8.707262
photomontag	9.805875
ultra-violet	8.014115
south-west	7.859965
seven-	9.805875
re-posit	8.707262
perown	9.112728
popularis	9.112728
scraper	9.805875
0055	9.805875
270	6.116995
271	6.915503
272	7.608650
273	7.726433
274	7.726433
275	7.166817
276	7.608650
277	7.320968
278	7.503290
279	7.407979
315,400	9.805875
kodak	8.707262
dialogu	5.411426
11.fli	9.805875
greig	7.859965
databank	8.419580
succumb	9.805875
27a	9.805875
widget	9.805875
perfunctorili	8.707262
9258	9.805875
ophthalm	8.196437
9255	9.805875
9252	8.419580
9253	9.112728
purpose-mad	9.805875
ching	4.028222
china	2.391302
self-acquir	9.805875
rlb	9.805875
www.info.gov.hk/swd	9.805875
dollaris	8.419580
sheung	3.751435
deterior	5.646992
mullick	9.805875
over-zeal	9.805875
everyon	4.687881
study-cum-pleasur	9.112728
climber	9.805875
controversi	5.854631
golden	5.586367
68.24	9.805875
lengthen	8.014115
pelb.gov.hk	8.707262
topographi	8.014115
sterl	7.320968
stern	7.608650
tpb.	9.805875
battista	9.805875
dual-	9.805875
dna	7.503290
153.3	9.805875
hkyso	9.805875
music	4.085563
mystic	9.805875
catchi	9.805875
musik	9.805875
skinfold	9.805875
yahoo	8.196437
5.12	9.805875
5,416	9.805875
5.10	8.196437
5.16	9.112728
20,198	9.805875
5,410	9.805875
exco	6.279514
5.18	8.707262
duall	7.240925
generaliz	9.805875
generalis	8.419580
100.00	9.805875
locker	7.859965
thespian	9.112728
ofta	5.616220
phang	9.805875
matilda	9.805875
nunclear	9.805875
wang	4.687881
wand	9.112728
dinoflagel	9.805875
56,213	9.805875
soeur	9.805875
eight-pow	9.805875
51.9	9.112728
bienvenu	9.805875
commonplac	9.805875
want	4.207453
51.0	9.112728
51.1	8.419580
forfar	9.805875
pinto	9.805875
51.4	9.112728
51.5	9.805875
51.6	9.112728
51.7	8.419580
travel	3.842295
43,034	9.805875
copious	9.805875
cutback	8.707262
1,112	9.805875
playback	9.112728
m.f.b.m	9.805875
25,800	9.805875
1,110	9.112728
246.43	9.805875
1175	9.805875
1173	9.805875
1172	9.805875
1,116	9.112728
prodiv	9.112728
buy-in	9.805875
45.6	8.707262
wrong	5.220907
wristlet	9.805875
1,114	8.707262
45.4	9.112728
prodig	9.112728
ex-quarri	9.112728
41,863	9.805875
breathabl	9.805875
caisson	9.112728
stannard	9.112728
election-rel	7.097825
finalis	5.399155
disinclin	9.805875
romper	9.805875
anti-pollut	6.340139
kuen	5.816891
infofax	6.309367
non-occupi	9.805875
on-scen	9.805875
790,000	8.419580
8545	9.112728
8547	9.112728
incarn	9.805875
8541	5.436427
fir	9.805875
up-trend	9.805875
fit	5.210755
fiu	9.112728
fix	4.043823
ultiana	9.805875
sinornithosaurus	9.805875
fic	9.805875
2007/08	9.112728
fid	8.707262
tee-off	9.805875
fin	8.707262
6,021	9.805875
33,100	9.805875
sixteen	6.915503
14.46	9.112728
60901	9.805875
overvalu	9.112728
arrog	9.805875
1,348	9.805875
bartok	8.014115
barton	8.707262
_support1.htm	9.805875
gongbei	9.805875
1,340	8.707262
accommod	4.829141
arrow	9.805875
ingrid	8.014115
jasminia	9.805875
burial	6.714832
unshak	9.112728
inter-relationship	8.707262
allan	6.194957
393	6.116995
392	7.726433
391	7.726433
390	6.222356
8,266	9.805875
well-respect	7.859965
395	7.320968
394	9.112728
3,770	9.805875
worn-out	9.805875
allay	7.240925
398	9.112728
3,775	9.805875
120,000	6.250527
self-	7.166817
ideograph	7.859965
short-sel	8.707262
mason	8.196437
ombr	9.805875
shengrong	9.805875
adapt	5.060943
chva	9.805875
7,441	9.805875
2,160,000	9.805875
smithfield	6.309367
39c	9.805875
39a	8.707262
dgi	9.112728
40,300	9.805875
owner-incorpor	9.112728
strata	7.726433
39m	8.707262
berwick	8.196437
veritch	9.805875
un-determin	9.805875
8,813	9.805875
19.12	9.805875
man-mad	6.116995
39]	9.805875
3,428,562	9.805875
iyco	9.805875
vertebr	9.805875
mesmer	9.805875
88.65	9.805875
chevron	9.112728
ratanarueng	9.112728
understat	8.014115
master	5.035190
oldi	7.726433
popscen	9.805875
berlioz	9.112728
shorthaul	9.805875
[deep	9.805875
distict	9.805875
bishopscourt	9.805875
bicyl	9.805875
unlaw	5.123743
well-us	8.014115
blackbal	9.805875
fly-trap	9.805875
viscer	8.707262
placement-ti	9.805875
un-budget	9.112728
postnat	9.805875
6810	9.805875
51,648,005,000	9.112728
spectrum	5.180902
6817	9.112728
406.9	9.805875
increment	7.407979
alianna	9.805875
dozen	6.810142
2.79	9.805875
2.78	9.805875
re-check	9.805875
tranship	6.547778
2.70	9.112728
2.73	9.112728
2.72	9.805875
2.75	8.707262
vga	9.805875
2.77	8.419580
90.52	9.805875
2.7-	9.805875
101	3.029368
eulog	9.805875
greenback	9.805875
english-	9.805875
simplifi	5.893852
62x	8.419580
canist	9.805875
unknow	8.419580
limitless	8.419580
re-appointe	9.112728
toil	9.112728
mouth	6.222356
long-	7.608650
4,814.5	9.805875
cross-bord	5.816891
singer	5.816891
4,473	9.805875
tast	6.438579
kaalf	9.805875
31,260,800	9.805875
pecc	7.240925
tech	7.033286
thunder	7.859965
lcq18:fire	9.805875
bisexu	8.196437
non-publ	9.112728
leather-war	9.112728
ysay	9.805875
cheapli	9.805875
teresa	7.240925
s/tp	8.419580
dicken	8.196437
ulcer	9.112728
traffic-fre	9.805875
newly-acquir	9.112728
madelain	9.805875
hi-tech	6.761352
smaller-scal	9.112728
restaur	4.416803
fixed-penalti	9.805875
huanggang	5.745432
bliss	8.707262
rick	9.112728
rich	5.096345
rice	6.116995
memoir	9.805875
psu/tw	9.805875
rica	8.419580
plate	6.250527
dejohnett	9.805875
181,800	9.805875
reflat	9.805875
iata	9.805875
venet	9.112728
lcq18:school	9.805875
platt	9.112728
kite-fli	8.707262
quintess	9.805875
pearls-beyond-pric	9.805875
jaguar	9.805875
almon	8.196437
weimin	9.805875
patch	7.407979
16.10.98	9.112728
kccs	9.805875
dungarr	9.805875
leap-year	9.112728
196.6	9.112728
three-bedroom	9.112728
erika	9.805875
tutor-cum-perform	9.112728
euro-denomin	9.805875
irr	8.419580
irv	5.999212
lott	9.112728
xvi	9.112728
iri	7.608650
abilymp	9.805875
irc	7.726433
ird	6.861436
irg	9.112728
depriv	6.670381
extend	3.772789
71,608	9.805875
travelogu	9.805875
extens	3.707800
.86	9.805875
gced	9.112728
garfunkel	9.805875
extenu	9.805875
coin-box	9.805875
airflow	9.805875
environment-consci	8.707262
veer	9.112728
unemploy	4.458767
65.75	9.805875
crimeinf	5.501810
tyranni	9.805875
xinfengjiang	9.805875
southeastern	9.805875
jack	7.240925
554,298	9.805875
rehash	9.805875
assur	4.915526
11.18	9.112728
11.19	9.805875
11.16	8.707262
11.17	9.805875
